fold,strategy,trade_count,mean_forward_return,mean_relative_return,hit_rate,test_start,test_end
1,ml_topk,375,0.07268417157670172,0.06968310102767714,0.784,2020-01-01,2020-06-30
1,momentum_topk,375,0.07268417157670172,0.06968310102767714,0.784,2020-01-01,2020-06-30
1,equal_weight,1125,0.049539240161867205,0.046538169612842656,0.7146666666666667,2020-01-01,2020-06-30
2,ml_topk,384,0.02802454971108016,0.005965094017430047,0.6458333333333334,2020-07-01,2020-12-31
2,momentum_topk,384,0.033998477089187316,0.011939021395537208,0.6458333333333334,2020-07-01,2020-12-31
2,equal_weight,1152,0.025210665632319704,0.0031512099386695985,0.6223958333333334,2020-07-01,2020-12-31
3,ml_topk,372,0.02449570597810688,0.007050936038549078,0.6559139784946236,2021-01-01,2021-06-30
3,momentum_topk,372,0.024004188318963414,0.0065594183794056085,0.6424731182795699,2021-01-01,2021-06-30
3,equal_weight,1116,0.024273078286752736,0.00682830834719493,0.6388888888888888,2021-01-01,2021-06-30
4,ml_topk,384,0.0093738397119395,0.0007431493619511435,0.5286458333333334,2021-07-01,2021-12-31
4,momentum_topk,384,0.0093738397119395,0.0007431493619511435,0.5286458333333334,2021-07-01,2021-12-31
4,equal_weight,1152,-0.0019617521895445044,-0.010592442539532862,0.4835069444444444,2021-07-01,2021-12-31
5,ml_topk,372,-0.03515101409843271,-0.015943009275685222,0.3387096774193548,2022-01-01,2022-06-30
5,momentum_topk,372,-0.040352219517152454,-0.02114421469440497,0.34139784946236557,2022-01-01,2022-06-30
5,equal_weight,1116,-0.03402411821524963,-0.014816113392502148,0.34767025089605735,2022-01-01,2022-06-30
6,ml_topk,381,-0.009978983584107459,-0.01399220564324649,0.3753280839895013,2022-07-01,2022-12-31
6,momentum_topk,381,-0.012363328027152617,-0.016376550086291648,0.34120734908136485,2022-07-01,2022-12-31
6,equal_weight,1143,-0.012180039650711849,-0.01619326170985088,0.3910761154855643,2022-07-01,2022-12-31
7,ml_topk,372,0.0496855343135564,0.032138871196828595,0.7231182795698925,2023-01-01,2023-06-30
7,momentum_topk,372,0.0430888003585356,0.025542137241807792,0.7150537634408602,2023-01-01,2023-06-30
7,equal_weight,1116,0.03369599313249107,0.016149330015763255,0.6657706093189965,2023-01-01,2023-06-30
8,ml_topk,378,-0.0008724990491325597,-0.009555145302252096,0.4708994708994709,2023-07-01,2023-12-31
8,momentum_topk,378,-0.0010981644784574828,-0.00978081073157702,0.47619047619047616,2023-07-01,2023-12-31
8,equal_weight,1134,0.010171544836298476,0.0014888985831789396,0.5529100529100529,2023-07-01,2023-12-31
9,ml_topk,372,0.04607608851645251,0.026043754461426108,0.739247311827957,2024-01-01,2024-06-30
9,momentum_topk,372,0.0426132537557957,0.022580919700769298,0.6989247311827957,2024-01-01,2024-06-30
9,equal_weight,1116,0.019590102410664854,-0.00044223164436154683,0.5940860215053764,2024-01-01,2024-06-30
10,ml_topk,384,0.0007319485557134424,-0.008263864207156362,0.4895833333333333,2024-07-01,2024-12-31
10,momentum_topk,384,-0.0010192317131413446,-0.010015044476011148,0.4765625,2024-07-01,2024-12-31
10,equal_weight,1152,0.00997910820300746,0.0009832954401376545,0.5486111111111112,2024-07-01,2024-12-31
11,ml_topk,366,-0.0020913065747788745,-0.010289583213772734,0.5218579234972678,2025-01-01,2025-06-30
11,momentum_topk,366,0.003269712276722565,-0.0049285643622712936,0.5601092896174863,2025-01-01,2025-06-30
11,equal_weight,1098,0.004343024207769186,-0.003855252431224673,0.5418943533697632,2025-01-01,2025-06-30
12,ml_topk,339,0.035027087529001584,0.0221314155845405,0.6873156342182891,2025-07-01,2025-12-31
12,momentum_topk,339,0.028231418197915754,0.015335746253454671,0.5929203539823009,2025-07-01,2025-12-31
12,equal_weight,1017,0.02332724575107531,0.010431573806614221,0.5929203539823009,2025-07-01,2025-12-31
