train_start,train_end,test_start,test_end,train_rows,test_rows,auc,fold
2017-01-01,2019-12-16,2020-01-01,2020-06-30,6111,1125,0.4575495416510875,1
2017-07-01,2020-06-15,2020-07-01,2020-12-31,6236,1152,0.4816092480605949,2
2018-01-01,2020-12-16,2021-01-01,2021-06-30,6386,1116,0.496695026612336,3
2018-07-01,2021-06-15,2021-07-01,2021-12-31,6496,1152,0.42491930407296785,4
2019-01-01,2021-12-16,2022-01-01,2022-06-30,6644,1116,0.5540777835587929,5
2019-07-01,2022-06-15,2022-07-01,2022-12-31,6723,1143,0.4599436597675966,6
2020-01-01,2022-12-16,2023-01-01,2023-06-30,6722,1116,0.49780434951116026,7
2020-07-01,2023-06-15,2023-07-01,2023-12-31,6702,1134,0.5145906161240987,8
2021-01-01,2023-12-16,2024-01-01,2024-06-30,6690,1116,0.4334723429689198,9
2021-07-01,2024-06-15,2024-07-01,2024-12-31,6691,1152,0.5132019990368393,10
2022-01-01,2024-12-16,2025-01-01,2025-06-30,6687,1098,0.570510297783025,11
2022-07-01,2025-06-15,2025-07-01,2025-12-31,6668,1017,0.5393665840423394,12
