fold,strategy,trade_count,mean_forward_return,mean_relative_return,hit_rate,test_start,test_end
1,ml_topk,375,0.057898637919219925,0.054897578390667015,0.704,2020-01-01,2020-06-30
1,momentum_topk,375,0.0726841738299226,0.06968311430136968,0.784,2020-01-01,2020-06-30
1,equal_weight,1125,0.04953924140202528,0.04653818187347238,0.7146666666666667,2020-01-01,2020-06-30
2,ml_topk,384,0.025503575916862142,0.0034441132463717667,0.625,2020-07-01,2020-12-31
2,momentum_topk,384,0.0339984718922228,0.011939009221732425,0.6458333333333334,2020-07-01,2020-12-31
2,equal_weight,1152,0.025210663958587405,0.0031512012880970347,0.6223958333333334,2020-07-01,2020-12-31
3,ml_topk,372,0.02500088102544239,0.0075561027387558285,0.6424731182795699,2021-01-01,2021-06-30
3,momentum_topk,372,0.024004190777622673,0.0065594124909361135,0.6424731182795699,2021-01-01,2021-06-30
3,equal_weight,1116,0.024273081484185815,0.006828303197499258,0.6388888888888888,2021-01-01,2021-06-30
4,ml_topk,384,0.009373831341086361,0.0007431483762143191,0.5286458333333334,2021-07-01,2021-12-31
4,momentum_topk,384,0.009373831341086361,0.0007431483762143191,0.5286458333333334,2021-07-01,2021-12-31
4,equal_weight,1152,-0.0019617532897364975,-0.010592436254608536,0.4835069444444444,2021-07-01,2021-12-31
5,ml_topk,372,-0.03617498214669816,-0.016966980385243947,0.3333333333333333,2022-01-01,2022-06-30
5,momentum_topk,372,-0.04035221474931188,-0.021144212987857663,0.34139784946236557,2022-01-01,2022-06-30
5,equal_weight,1116,-0.034024118036700995,-0.014816116275246777,0.34767025089605735,2022-01-01,2022-06-30
6,ml_topk,381,-0.01069604266508856,-0.014709258497844692,0.3753280839895013,2022-07-01,2022-12-31
6,momentum_topk,381,-0.01236333340928445,-0.01637654924204059,0.34120734908136485,2022-07-01,2022-12-31
6,equal_weight,1143,-0.012180039607104695,-0.016193255439860825,0.3910761154855643,2022-07-01,2022-12-31
7,ml_topk,372,0.036792155284337956,0.019245490719096287,0.6935483870967742,2023-01-01,2023-06-30
7,momentum_topk,372,0.0430888048293471,0.025542140264105423,0.7150537634408602,2023-01-01,2023-06-30
7,equal_weight,1116,0.033695992310721325,0.016149327745479652,0.6657706093189965,2023-01-01,2023-06-30
8,ml_topk,378,0.001599108248005622,-0.007083539677539985,0.48412698412698413,2023-07-01,2023-12-31
8,momentum_topk,378,-0.0011042625473383836,-0.009786910472883992,0.47619047619047616,2023-07-01,2023-12-31
8,equal_weight,1133,0.010181899759260772,0.0014555044572916124,0.5542806707855251,2023-07-01,2023-12-31
9,ml_topk,372,0.046050873000736466,0.026018543569033156,0.7365591397849462,2024-01-01,2024-06-30
9,momentum_topk,372,0.042613247637765854,0.022580918206062544,0.6989247311827957,2024-01-01,2024-06-30
9,equal_weight,1116,0.01959010140611909,-0.00044222802558422205,0.5940860215053764,2024-01-01,2024-06-30
10,ml_topk,384,0.0014217477450198738,-0.007574070501910953,0.4817708333333333,2024-07-01,2024-12-31
10,momentum_topk,384,-0.0010192303235990047,-0.010015048570529832,0.4765625,2024-07-01,2024-12-31
10,equal_weight,1152,0.00997910755868944,0.0009832893117586127,0.5486111111111112,2024-07-01,2024-12-31
11,ml_topk,366,0.005712931011683992,-0.0024853466318671543,0.587431693989071,2025-01-01,2025-06-30
11,momentum_topk,366,0.0032697157549826158,-0.00492856188856853,0.5601092896174863,2025-01-01,2025-06-30
11,equal_weight,1098,0.004343023511771094,-0.0038552541317800515,0.5418943533697632,2025-01-01,2025-06-30
12,ml_topk,339,0.030054387603395738,0.017158718473609714,0.6755162241887905,2025-07-01,2025-12-31
12,momentum_topk,339,0.02823141666914504,0.015335747539359018,0.5929203539823009,2025-07-01,2025-12-31
12,equal_weight,1017,0.02332724719983188,0.01043157807004586,0.5929203539823009,2025-07-01,2025-12-31
