train_start,train_end,test_start,test_end,train_rows,test_rows,auc,fold
2017-01-01,2019-12-16,2020-01-01,2020-06-30,6108,1125,0.4503133017882699,1
2017-07-01,2020-06-15,2020-07-01,2020-12-31,6234,1152,0.4888262781748213,2
2018-01-01,2020-12-16,2021-01-01,2021-06-30,6384,1116,0.49322414090601396,3
2018-07-01,2021-06-15,2021-07-01,2021-12-31,6495,1152,0.42596399823205605,4
2019-01-01,2021-12-16,2022-01-01,2022-06-30,6643,1116,0.5644929017392597,5
2019-07-01,2022-06-15,2022-07-01,2022-12-31,6722,1143,0.4561837317578935,6
2020-01-01,2022-12-16,2023-01-01,2023-06-30,6722,1116,0.5045581232327794,7
2020-07-01,2023-06-15,2023-07-01,2023-12-31,6702,1133,0.49872149864971116,8
2021-01-01,2023-12-16,2024-01-01,2024-06-30,6689,1116,0.44482856987611386,9
2021-07-01,2024-06-15,2024-07-01,2024-12-31,6690,1152,0.510481548456232,10
2022-01-01,2024-12-16,2025-01-01,2025-06-30,6686,1098,0.5727516350892974,11
2022-07-01,2025-06-15,2025-07-01,2025-12-31,6667,1017,0.557023346955182,12
